Contexte Gauche	Mot Cible	Contexte Droit
under 	lockdown	 in Latin America.^[541] In Germany, 35% of workers
implement any 	lockdown	 measures; its K-Quarantine strategy included
This section is an excerpt from COVID-19 	lockdown	s by country.[edit]
Countries and territories around the world enforced 	lockdown	s of
Beginning with the first 	lockdown	 in China's Hubei province^[548] and
nationwide in Italy in March 2020, 	lockdown	s continued to be
home during its 	lockdown	, making it the largest of the pandemic.^[549]
The world's longest continuous 	lockdown	 lasting 234 days took place in
most cumulative days in 	lockdown	 over separate periods, although
Wikimedia Commons has media related to COVID-19 curfews and 	lockdown	s.
* COVID-19 	lockdown	 in China
* COVID-19 	lockdown	 in India
* COVID-19 	lockdown	s in Italy
	lockdown	s)
	lockdown	 in 90 countries". euronews. Archived from the original on
	lockdown	 in Wuhan on containing the COVID-19 outbreak in China".
masks curtail the post-	lockdown	 resurgence of COVID-19 in the US?".
versus soft 	lockdown	". medRxiv 10.1101/2020.08.31.20185587v1.
	lockdown	 in Victoria (commencing 9 July 2020) achieving elimination
and a second 	lockdown	 with COVID-19 deaths and hospital admissions
29. ^ Born B, Dietrich AM, MÃ¼ller GJ (8 April 2021). "The 	lockdown	
30. ^ Smith P (23 December 2020). "Hard 	lockdown	 and a "health
	lockdown	s?". South China Morning Post. 21 July 2021. Archived from
	lockdown	' policy". Financial Times. 12 November 2021. Archived from
	lockdown	 laws as infection rate leads western Europe". The
limitations: A critical appraisal of the COVID-19 	lockdown	 in South
New Zealand during the COVID-19 	lockdown	: A cross-sectional study".
the two stages of 	lockdown	 in response to the COVID-19 outbreak: an
Camargo O, Raman S (2021). "Impact of 	lockdown	 and school closure
coronavirus 	lockdown	". Financial Times. Archived from the original
96. ^ Haddad M. "Mapping coronavirus anti-	lockdown	 protests around the
97. ^ "Albania extends 	lockdown	 till end of coronavirus outbreak".
98. ^ "Albania: COVID-19 	lockdown	 measures eased from June 1 /update
99. ^ "Algeria: Government implements 	lockdown	 and curfew in Blida and
	lockdown	 as Covid cases soar". www.batimes.com.ar.
105. ^ "Argentina extends mandatory 	lockdown	 in Buenos Aires and
107. ^ Mejlumyan A (4 May 2020). "Armenia ends 	lockdown	 even as COVID
110. ^ "Melbourne 	lockdown	 extended by two weeks". BBC News. 6
Victoria stage 3 Covid-19 restrictions and 	lockdown	 rules
Daniel Andrews announces end to 	lockdown	". Australian Broadcasting
to enter five-day 'circuit breaker' 	lockdown	 from tonight".
114. ^ "Victoria enters COVID-19 	lockdown	 as cases from Melbourne
	lockdown	 as more COVID-19 cases recorded". ABC News. 15 July 2021.
117. ^ ^a ^b ^c ^d ^e ^f ^g ^h ^i "Victoria's 	lockdown	 extended by a
118. ^ ^a ^b ^c ^d ^e ^f ^g ^h ^i "Victoria to enter sixth 	lockdown	 in
120. ^ ^a ^b ^c ^d ^e ^f ^g ^h "All of Victoria now in 	lockdown	 after
121. ^ ^a ^b ^c ^d ^e ^f ^g ^h "Premier flags regional 	lockdown	
COVID-19 	lockdown	. Here's what's changing". abc.net.au. 8 September
123. ^ "Greater Shepparton to enter snap, seven-day COVID-19 	lockdown	".
124. ^ "Mildura enters COVID-19 	lockdown	 as regional Victorian regions
125. ^ "Ballarat to enter week-long 	lockdown	 as regional city records
126. ^ "Modest easing of Victoria's COVID 	lockdown	 rules to kick in
127. ^ "Ballarat to be released from COVID-19 	lockdown	 as western
plunged into seven-day snap 	lockdown	". 9news.com.au. 19 September
Surf Coast leave 	lockdown	". ABC News. 27 September 2021. Retrieved
130. ^ "Victoria reimposes coronavirus stage 3 	lockdown	 on metropolitan
131. ^ "Mitchell Shire in regional Victoria to exit 	lockdown	 at 11.59pm
132. ^ "Mildura enters COVID-19 	lockdown	 as regional Victorian regions
133. ^ "Mildura 	lockdown	 extended by a week". sunraysiadaily.com.au. 15
134. ^ "Latrobe Valley to enter seven-day COVID-19 	lockdown	 from
135. ^ "Latrobe Valley 	lockdown	 to end at midnight tonight". ABC News.
136. ^ South Australia ordered into six-day 	lockdown	 amid coronavirus
137. ^ South Australia to end Covid 	lockdown	 early as premier 'fuming'
138. ^ "South Australia 'moves into 	lockdown	' after five COVID cases
139. ^ "Hobart region enters three-day 	lockdown	 after COVID hotel
140. ^ "Sydney's Northern Beaches enter day one of 	lockdown	 as NSW
141. ^ "Three-week coronavirus 	lockdown	 lifts in northern zone of
143. ^ ^a ^b "Covid: Brisbane to enter three-day 	lockdown	 over single
144. ^ "Greater Brisbane will go into a three-day 	lockdown	 after
145. ^ "Brisbane's 	lockdown	 now lifted after only one case of community
146. ^ ^a ^b ^c "Queenslanders heading for three-day 	lockdown	 after
147. ^ "South-east Queensland enters three-day COVID 	lockdown	 as
snap 	lockdown	 after guard tests positive". BBC News. 31 January
150. ^ ^a ^b ^c ^d "Perth enters snap three-day 	lockdown	 after Covid
151. ^ ^a ^b "Perth and Peel plunged into 	lockdown	 after another local
152. ^ ^a ^b "COVID-19 	lockdown	 expanded to cover Greater Sydney, Blue
154. ^ ^a ^b "Sydney 	lockdown	 extended for one month as NSW records 644
155. ^ "Darwin region sent into snap 	lockdown	 with five new Granites
156. ^ "Greater Darwin 	lockdown	 extended by 72 hours as NT records one
'critical' 	lockdown	". www.abc.net.au. 30 June 2021. Retrieved 30
158. ^ ^a ^b "NSW Central West 	lockdown	 to end as planned as testing
regions stay in 	lockdown	". ABC News. 26 August 2021.
160. ^ ^a ^b ^c "Newcastle, Hunter in snap 	lockdown	 as COVID cases
Lismore and Albury LGAs go back into 	lockdown	". ABC News. 16
163. ^ ^a ^b "Port Macquarie-Hastings, Muswellbrook under snap 	lockdown	
Armidale plunged into 	lockdown	". ABC News. 7 August 2021.
166. ^ ^a ^b "Cairns and Yarrabah enter three-day 	lockdown	 as tests
167. ^ ^a ^b "Cairns 	lockdown	 to lift as Queensland records four
	lockdown	 after COVID-19 case in region". ABC News. 9 August 2021.
	lockdown	 midnight Friday, ABC understands". ABC News. 8 September
171. ^ "Tweed Heads, Byron Bay and Kempsey under 	lockdown	 for seven
173. ^ "Dubbo in 	lockdown	, child's COVID-19 infection confirmed". ABC
174. ^ "ACT to enter 	lockdown	 for 7 days from 5:00pm as one new case of
175. ^ "The COVID-19 	lockdown	 has ended in the ACT â here's what you
COVID-19 	lockdown	, joins the rest of the state". ABC News. 14
177. ^ "MidCoast local government area COVID 	lockdown	 lifted at
179. ^ "Snowy Monaro snapped into 	lockdown	 today as case numbers grow".
	lockdown	 orders from today". ABC News. 20 September 2021.
183. ^ "Cowra's 	lockdown	 extended for further seven days". 27 September
	lockdown	". ABC News. 17 September 2021.
185. ^ "Hilltops 	lockdown	 extended for a further seven days".
189. ^ "Australia starts 	lockdown	 measures as coronavirus cases jump".
190. ^ "Australia's biggest state to ease coronavirus 	lockdown	 from May
193. ^ ^a ^b Austria goes into 4-week partial 	lockdown	 starting
194. ^ "Austria to introduce new 	lockdown	 until January 18". apa.az. 18
195. ^ "Austria extends coronavirus 	lockdown	 until February 7th". 18
196. ^ "Austria to go into full 	lockdown	 as Covid surges". 19 November
197. ^ "Austria to go into full 	lockdown	 as Covid surges". 19 November
201. ^ Service TN. "Bangladesh to impose 1-week 	lockdown	 from Monday".
202. ^ "Bangladesh extends 'strict' nationwide Covid-19 	lockdown	 till
203. ^ "Bangladesh reimposes COVID 	lockdown	 for two weeks".
204. ^ "Bangladesh extends strict 	lockdown	 by five days to August 10".
206. ^ "Belgium enters 	lockdown	 over coronavirus crisis â in pictures".
	lockdown	 measures in three phases, starting 4 May".
208. ^ ^a ^b Belgium announces six-week 	lockdown	 in Covid-19 crackdown
Easter 	lockdown	". www.euractiv.com.
210. ^ "Belgium to start easing 	lockdown	 Monday, including for travel,
211. ^ "Fifth person dies as Bermuda extends 	lockdown	 to May 2".
212. ^ "Bhutan govt imposes nationwide 	lockdown	 to curb coronavirus
213. ^ Bhutan eases nationwide 	lockdown	 in phases 2020-09-01,
214. ^ "Under siege: island braces for 24-hour 	lockdown	".
emergency, 	lockdown	 in wake of COVID-19 cases". Eyewitness News.
224. ^ Krasimirov, Angel (3 May 2020). "Easing 	lockdown	 measures,
225. ^ Hirsch, Cornelius (21 June 2020). "Europe's post-	lockdown	 rules
233. ^ Voun D. "Phnom Penh, Takmao 	lockdown	 extended for another week".
	lockdown	 in Phnom Penh and Takhmao in Kandal province". IPS
241. ^ ^a ^b ^c ^d "Ontario to implement provincewide 	lockdown	 on
243. ^ ^a ^b ^c "Quebec heads into 18-day 	lockdown	; non-essential
244. ^ Gamba L (21 March 2020). "Colombia announces 	lockdown	 as
246. ^ ^a ^b "COVID-19: Lagos, Brazzaville 	lockdown	 begins".
250. ^ Thomas M. "County 	lockdown	 across Croatia from December 22 as
253. ^ ^a ^b "Cyprus goes into new 	lockdown	 from January 10 as COVID
254. ^ ^a ^b "COVID19: Cyprus enters two-week national 	lockdown	".
	lockdown	 to avoid health system collapse". Associated Press.
257. ^ "Denmark goes on 	lockdown	". www.themayor.eu. Retrieved 6 January
259. ^ "Denmark announces national Covid-19 	lockdown	 from Christmas
261. ^ ^a ^b "Ecuador shrimp, tuna processors endure despite 	lockdown	,
263. ^ ^a ^b "Eritrea enforces 21-day 	lockdown	 to contain spread of
264. ^ ^a ^b "Prime minister unveils plan for 	lockdown	 from March 11".
	lockdown	". Fijian Broadcasting Corporation. Retrieved 7 April 2020.
cases, Suva will go into 	lockdown	". Radio New Zealand. Retrieved 2
268. ^ Susu A (2 April 2020). "COVID-19: Suva to go on 	lockdown	 from
269. ^ "France imposes 15-day 	lockdown	 and mobilises 100,000 police to
	lockdown	 until 11 May". The Independent. Retrieved 14 April 2020.
271. ^ Coronavirus: Macron declares second national 	lockdown	 in France
272. ^ Coronavirus: France lifts second 	lockdown	 and imposes new curfew
274. ^ "Paris begins month-long 	lockdown	 as France faces a third wave
278. ^ "Germany outlines plan for scaling back coronavirus 	lockdown	". 6
	lockdown	s 28 October 2020, news.sky.com accessed 31 October 2020
283. ^ "Coronavirus: Germany extends 	lockdown	 with plan to relax
	lockdown	". 24 March 2021.
286. ^ "Coronavirus: German Alpine region goes into 	lockdown	". BBC
288. ^ Nyabor J (5 April 2020). "We'll decide on extension of 	lockdown	
289. ^ "Greece imposes 	lockdown	 after coronavirus infections jump".
290. ^ Kathimerini (23 April 2020). "Greece extends 	lockdown	 until May
291. ^ "Greece tightens COVID-19 	lockdown	, shuts primary schools".
292. ^ "Greece lifts some COVID-19 restrictions to relieve 	lockdown	
293. ^ Greece imposes 	lockdown	 on second largest city 2 November 2020
294. ^ "'Strict' 	lockdown	 measures from midnight". bbc.co.uk. BBC News.
295. ^ "Coronavirus: Guernsey to lift nearly all 	lockdown	
296. ^ "Guernsey 	lockdown	: What you need to know". ITV News. 24 January
300. ^ ^a ^b "Hungary PM imposes 	lockdown	, sees coronavirus peak by
national 	lockdown	, says extremely necessary to take this step".
	lockdown	". 26 April 2021.
305. ^ "Delhi 	lockdown	 extended till May 31". The Hindu. 23 May 2021.
306. ^ "Complete 	lockdown	 in Haryana from May 3 for 7 days". Business
307. ^ "Maharashtra enters into '	lockdown	-like' restrictions on public
308. ^ "Covid-19: Maharashtra extends 	lockdown	 till June 15, but allows
309. ^ "Odisha govt announces a 14-day 	lockdown	 from 5th to 19th May.
312. ^ "Yogi govt imposes full 	lockdown	 in UP from April 30; check out
314. ^ "Iran: Natiowide 	lockdown	 implemented as over 11,300 COVID-19
317. ^ "Iraq on total 	lockdown	 until March 28 over virus fears".
318. ^ "Iraq extends coronavirus 	lockdown	 until mid-April".
sweeping two-week 	lockdown	". The Guardian. Retrieved 27 March 2020.
321. ^ "Ireland extends Covid-19 	lockdown	 to 18 May before phased
	lockdown	, extends Jerusalem neighborhoods closure".
^ "Israelis brace for unpopular second Covid 	lockdown	". Retrieved 18
^ "Israel enters 3rd 	lockdown	; commercial activity shuts down,
	lockdown	". www.bbc.co.uk. 19 December 2020. Retrieved 6 January 2021.
^ "Covid, Italia verso 	lockdown	 fino a maggio: solo zone rosse e
^ ^a ^b ^c ^d Dpcm, 	lockdown	 in Lombardia, Piemonte, Calabria e Valle
dell'Italia: '	lockdown	' per Lombardia, Sicilia e Bolzano" [Regions in
the orange and red zone, the new map of Italy: '	lockdown	' for Lombardy,
^ Sharif OA (19 March 2020). "Jordan announces 	lockdown	 in effort to
^ "Jordan extends coronavirus 	lockdown	 to end of April". The
^ ^a ^b Jordan: Authorities to impose 	lockdown	 from November 10-15
^ ^a ^b "Coronavirus: Kuwait to impose full 	lockdown	, curfew for 20
^ ^a ^b AFP (15 March 2020). "Lebanon announces two-week 	lockdown	
^ "Coronavirus:Lebanon to impose new 	lockdown	 despite economic cost".
^ "Libya on 	lockdown	 from 6.00 PM to 6.00 AM amid Coronavirus
^ "Libya: GNA authorities extend 	lockdown	 until June 27 /update 8".
^ Lithuania to enter three-week COVID 	lockdown	 on Saturday 4 November
^ "'Everyone stay at home' - Madagascar orders 	lockdown	 of two main
^ Babulal V (28 May 2021). "Malaysia goes under full 	lockdown	 again
^ ^a ^b Mexico begins to lift coronavirus 	lockdown	 Washington Post.
^ "Mexican border state of Chihuahua returns to 	lockdown	". ABC News.
^ "2nd Mexican state goes to highest COVID-19 alert, 	lockdown	". AP
	lockdown	". AP NEWS. 18 December 2020. Retrieved 23 December 2020.
	lockdown	 due to COVID-19 March 10 /update 7". garda.com. Retrieved 3
^ "Mongolia: Authorities extend nationwide 	lockdown	 until December 1
^ Eljechtimi A (18 May 2020). "Morocco extends coronavirus 	lockdown	
^ "In photos: Life under 	lockdown	". Frontier Myanmar. 27 April 2020.
^ Shikongo A (25 March 2020). "Partial 	lockdown	 in effect from
to 'stage two', post-	lockdown	". The Namibian. p. 1.
^ "Nepal ends COVID-19 	lockdown	". Nepali Times. 21 July 2020.
country to go into 	lockdown	 in battle against coronav".
imposing tough new five-week 	lockdown	". euronews. Retrieved 6 January
^ "Einde 	lockdown	 in zicht: kabinet versnelt met versoepelingen".
into strict Christmas 	lockdown	". Retrieved 19 December 2021.
^ "Dutch government eases 	lockdown	, opening shops, gyms and
^ "Covid-19 coronavirus: What the 	lockdown	 means for you and how it
^ ^a ^b "New Zealand announces three-day Covid 	lockdown	 in Auckland".
^ ^a ^b Mbah, Fidelis (30 March 2020). "Nigeria announces 	lockdown	 of
^ The four phases of Cyprus' 	lockdown	 exit roadmap
^ "North Korea orders nationwide 	lockdown	 after first confirmed case
^ Cha, Sangmi (August 14, 2020). "North Korea lifts 	lockdown	 in
^ "Muscat 	lockdown	 from Friday". Oman Observer. 8 April 2020.
^ "Muscat governorate 	lockdown	 extended". Oman Observer. 5 May 2020.
^ "Muscat governorate 	lockdown	 extended". Oman Observer. 5 May 2020.
^ "Coronavirus pandemic: Pakistan to extend 	lockdown	 for 2 more weeks
^ Shehzad R (24 April 2020). "Countrywide 	lockdown	 stretched till May
^ "Pakistan imposes 10-day countrywide 	lockdown	 from May 8 to tackle
^ ^a ^b "Papua New Guinea in 	lockdown	: what it means for you and your
in VisMin on 	lockdown	 until May 15". Rappler. Retrieved 24 April 2020.
^ ^a ^b Merez, Arianne (12 May 2020). "'Modified' 	lockdown	 set in
Region 	lockdown	 begins". Rappler. 19 March 2020. Retrieved 25 March
^ Merez, Arianne (7 April 2020). "Philippines extends 	lockdown	 of
stricter coronavirus 	lockdown	 in capital as cases spike". Reuters.
^ ^a ^b ^c ^d ^e "Coronavirus: What are the 	lockdown	 measures across
^ ^a ^b "Poland to impose nationwide 	lockdown	 from Dec. 28 to Jan. 17
^ "Poland goes into near-	lockdown	 as COVID-19 pandemic accelerates".
^ SA TP. "COVID-19: Poland prolongs coronavirus 	lockdown	 till April
^ "Portugal announces month-long 	lockdown	". www.aa.com.tr.
^ Pattisson P, Sedhai R (20 March 2020). "Covid-19 	lockdown	 turns
^ Qatar to lift 	lockdown	 in four phases from June 15 8 June 2020
^ "Moscow goes into 	lockdown	, urges other regions to take steps to
^ "Moscow extends partial 	lockdown	 over coronavirus until May 1".
^ "Moscow announces one-week 	lockdown	 as Russia Covid deaths rise".
^ "Coronavirus: Rwanda imposes Africa's first 	lockdown	". dw.com. 22
^ Tasamba J (2 April 2020). "Rwanda extends nationwide 	lockdown	 until
^ "San Marino, 	lockdown	 fino al 5 maggio ma via libera alle vendite a
^ ^a ^b ^c "Saudi Arabia puts fourth city on 	lockdown	 over
^ Saudi Arabia eases coronavirus 	lockdown	 restrictions
coronavirus 	lockdown	". Reuters. 20 April 2020. Retrieved 2 May 2020.
^ "Cafes, restaurants to reopen as Serbia eases 	lockdown	". New
^ "Singapore returning to 	lockdown	-like conditions as COVID cases
	lockdown	 on Thursday night". The Guardian. Retrieved 24 March 2020.
^ Ramaphosa C. "South Africa's coronavirus 	lockdown	 extended by 2
^ "Sri Lanka enters 	lockdown	 as Covid overwhelms hospitals â latest
^ "Sri Lanka to end Covid-19 	lockdown	 on October 1 - Times of India".
^ jdp, urs (15 January 2021). "Switzerland to enter new 	lockdown	 amid
^ Nortajuddin A (26 March 2020). "Surviving the virus 	lockdown	". The
^ ^a ^b "Trinidad on 	lockdown	". Nation News. 16 March 2020. Retrieved
^ "Tunisia orders army into streets to enforce coronavirus 	lockdown	".
^ "Tunisia extends 	lockdown	 by two weeks, releases prisoners". Al
^ ^a ^b "Turkey to impose four-day 	lockdown	". HÃ¼rriyet. 20 April
^ ^a ^b "Turkey to enter full 	lockdown	 April 29 to May 17".
^ "UAE: Three-day 	lockdown	 scheduled March 26-29 /update 16".
^ "Dubai imposes two-week 	lockdown	 as Gulf states step up coronavirus
^ "Boris Johnson orders UK 	lockdown	 to be enforced by police". The
^ Coronavirus 	lockdown	 eased: what you can and can't do from 4 July
uk-	lockdown	-boris-johnson-coronavirus-winter-death-latest-update
^ "Covid: Boris Johnson set to announce new England 	lockdown	".
^ "Timeline of UK government coronavirus 	lockdown	s". Retrieved 2
^ ^a ^b "Coronavirus: NI to face new 	lockdown	 measures from next
^ "Coronavirus: NI facing six-week 	lockdown	 from 26 December".
^ ^a ^b "Covid: Wales to go into 'firebreak' 	lockdown	 from Friday".
^ "Stay local â Wales takes first steps out of 	lockdown	". GOV.WALES.
^ "Leicester 	lockdown	 tightened as coronavirus cases rise".
^ "Coronavirus: Reopening shops during Leicester 	lockdown	
^ ^a ^b Covid in Scotland: Level 4 	lockdown	 to be imposed in 11
list of coronavirus 	lockdown	s in US states and cities". Business
	lockdown	 implemented April 1". GardaWorld. 2 April 2020. Archived from
	lockdown	 between 1st and 22nd April."
^ "Zimbabwe president extends coronavirus 	lockdown	 by two more
^ "Europe's coronavirus 	lockdown	 measures compared". Politico. 31
^ "Coronavirus: Half of humanity now on 	lockdown	 as 90 countries call
^ Langton K (20 April 2020). "China 	lockdown	: How long was China on
	lockdown	?". Daily Express. Archived from the original on 20 April 2020.
^ "A third of the global population is on coronavirus 	lockdown	âhere's
shows which cities and states are under 	lockdown	". Business Insider. 2
^ Nair S (29 March 2020). "For a billion Indians, 	lockdown	 has not
^ "Chaos and hunger amid India coronavirus 	lockdown	". Al Jazeera. 27
	lockdown	s in China". International Journal of Information Management.
record for time spent in 	lockdown	". ABC News. Retrieved 5 October 2021.
Vista a decretar '	lockdown	'". O Globo (in Portuguese). 3 June 2020.
^ "Palavras do Governador â NÃ£o vamos adotar o 	lockdown	". Tribunal
* 	lockdown	
* 	lockdown	
+ local 	lockdown	 regulations
+ 	lockdown	s
+ 	lockdown	s
"https://en.wikipedia.org/w/index.php?title=COVID-19_	lockdown	s&oldid=13
* Country 	lockdown	s
COVID-19 	lockdown	s
