token	corpus size	all contexts size	frequency	co-frequency	specificity
s northern	241909	11018	2	2	2.68
into snap	241909	11018	2	2	2.68
for seven	241909	11018	2	2	2.68
^b "cairns	241909	11018	2	2	2.68
for 7	241909	11018	2	2	2.68
further seven	241909	11018	2	2	2.68
into full	241909	11018	2	2	2.68
"bangladesh extends	241909	11018	2	2	2.68
extends strict	241909	11018	2	2	2.68
^ "belgium	241909	11018	2	2	2.68
six week	241909	11018	2	2	2.68
"europe s	241909	11018	2	2	2.68
imposes two	241909	11018	2	2	2.68
from dec	241909	11018	2	2	2.68
^b "cyprus	241909	11018	2	2	2.68
contain spread	241909	11018	2	2	2.68
announces nationwide	241909	11018	2	2	2.68
^ "iraq	241909	11018	2	2	2.68
^ "israel	241909	11018	2	2	2.68
as death	241909	11018	2	2	2.68
^b "coronavirus	241909	11018	2	2	2.68
^ "libya	241909	11018	2	2	2.68
four phases	241909	11018	2	2	2.68
"muscat governorate	241909	11018	2	2	2.68
"philippines extends	241909	11018	2	2	2.68
conditions as	241909	11018	2	2	2.68
"spain extends	241909	11018	2	2	2.68
virus cases	241909	11018	2	2	2.68
rise again	241909	11018	2	2	2.68
^ "sri	241909	11018	2	2	2.68
"sri lanka	241909	11018	2	2	2.68
reopening shops	241909	11018	2	2	2.68
johnson coronavirus	241909	11018	2	2	2.68
"coronavirus ni	241909	11018	2	2	2.68
^ "zimbabwe	241909	11018	2	2	2.68
"modi orders	241909	11018	2	2	2.68
3 week	241909	11018	2	2	2.68
week total	241909	11018	2	2	2.68
all 1	241909	11018	2	2	2.68
set when	241909	11018	2	2	2.68
war zone	241909	11018	2	2	2.68
get through	241909	11018	2	2	2.68
people need	241909	11018	2	2	2.68
by governmental	241909	11018	2	2	2.68
2020 260	241909	11018	2	2	2.68
cummings labelled	241909	11018	2	2	2.68
labelled the	241909	11018	2	2	2.68
johnson in	241909	11018	2	2	2.68
worst economic	241909	11018	2	2	2.68
downturn since	241909	11018	2	2	2.68
key findings	241909	11018	2	2	2.68
findings from	241909	11018	2	2	2.68
2020 followed	241909	11018	2	2	2.68
lockup is	241909	11018	2	2	2.68
period when	241909	11018	2	2	2.68
solution that	241909	11018	2	2	2.68
/ noun	241909	11018	2	2	2.68
noun 1	241909	11018	2	2	2.68
governor implemented	241909	11018	2	2	2.68
the virusâresidents	241909	11018	2	2	2.68
virusâresidents may	241909	11018	2	2	2.68
not leave	241909	11018	2	2	2.68
remain confined	241909	11018	2	2	2.68
reduction during	241909	11018	2	2	2.68
situ datasets	241909	11018	2	2	2.68
columnar no[2]	241909	11018	2	2	2.68
affecting the	241909	11018	2	2	2.68
examine the	241909	11018	2	2	2.68
aq during	241909	11018	2	2	2.68
the aq	241909	11018	2	2	2.68
25 marchâ30	241909	11018	2	2	2.68
marchâ30 april	241909	11018	2	2	2.68
2005â2019 and	241909	11018	2	2	2.68
co 2019	241909	11018	2	2	2.68
2019 during	241909	11018	2	2	2.68
the 25th	241909	11018	2	2	2.68
2020 over	241909	11018	2	2	2.68
25^th marchâ30^th	241909	11018	2	2	2.68
co burden	241909	11018	2	2	2.68
burden over	241909	11018	2	2	2.68
and pre	241909	11018	2	2	2.68
periods left	241909	11018	2	2	2.68
between aod	241909	11018	2	2	2.68
for pre	241909	11018	2	2	2.68
period right	241909	11018	2	2	2.68
here bl	241909	11018	2	2	2.68
bl and	241909	11018	2	2	2.68
and dl	241909	11018	2	2	2.68
dl represents	241909	11018	2	2	2.68
represents before	241909	11018	2	2	2.68
the vertical	241909	11018	2	2	2.68
vertical lines	241909	11018	2	2	2.68
lines are	241909	11018	2	2	2.68
are representing	241909	11018	2	2	2.68
representing the	241909	11018	2	2	2.68
the buffer	241909	11018	2	2	2.68
buffer zone	241909	11018	2	2	2.68
zone between	241909	11018	2	2	2.68
to 30	241909	11018	2	2	2.68
april considered	241909	11018	2	2	2.68
level during	241909	11018	2	2	2.68
the variation	241909	11018	2	2	2.68
trends for	241909	11018	2	2	2.68
term dataset	241909	11018	2	2	2.68
period table	241909	11018	2	2	2.68
years pre	241909	11018	2	2	2.68
counts day^â^1	241909	11018	2	2	2.68
than 50%	241909	11018	2	2	2.68
periods at	241909	11018	2	2	2.68
5] during	241909	11018	2	2	2.68
period at	241909	11018	2	2	2.68
dhulikhel second	241909	11018	2	2	2.68
second from	241909	11018	2	2	2.68
top daily	241909	11018	2	2	2.68
quality during	241909	11018	2	2	2.68
comment [edccb014e8bd3e1bd0b95d2e4b5ea0af10	241909	11018	2	2	2.68
times/redux [edccb014e8bd3e1bd0b95d2e4b5ea0af10	241909	11018	2	2	2.68
government lifted	241909	11018	2	2	2.68
lifted its	241909	11018	2	2	2.68
english language	241909	11018	2	2	2.68
language media	241909	11018	2	2	2.68
media was	241909	11018	2	2	2.68
was soon	241909	11018	2	2	2.68
soon using	241909	11018	2	2	2.68
instead â	241909	11018	2	2	2.68
and reacting	241909	11018	2	2	2.68
reacting with	241909	11018	2	2	2.68
with horror	241909	11018	2	2	2.68
virus truly	241909	11018	2	2	2.68
truly go	241909	11018	2	2	2.68
away during	241909	11018	2	2	2.68
simply hide	241909	11018	2	2	2.68
hide waiting	241909	11018	2	2	2.68
to reemerge	241909	11018	2	2	2.68
reemerge when	241909	11018	2	2	2.68
it ended	241909	11018	2	2	2.68
almost as	241909	11018	2	2	2.68
as tough	241909	11018	2	2	2.68
tough as	241909	11018	2	2	2.68
as chinaâs	241909	11018	2	2	2.68
italians had	241909	11018	2	2	2.68
19 up	241909	11018	2	2	2.68
from 630	241909	11018	2	2	2.68
630 when	241909	11018	2	2	2.68
he ordered	241909	11018	2	2	2.68
of fergusonâs	241909	11018	2	2	2.68
fergusonâs press	241909	11018	2	2	2.68
after johnson	241909	11018	2	2	2.68
johnson imposed	241909	11018	2	2	2.68
imposed the	241909	11018	2	2	2.68
was visited	241909	11018	2	2	2.68
visited twice	241909	11018	2	2	2.68
twice by	241909	11018	2	2	2.68
his mistress	241909	11018	2	2	2.68
trump he	241909	11018	2	2	2.68
he never	241909	11018	2	2	2.68
never used	241909	11018	2	2	2.68
was worried	241909	11018	2	2	2.68
worried enough	241909	11018	2	2	2.68
behaviors â	241909	11018	2	2	2.68
said california	241909	11018	2	2	2.68
in announcing	241909	11018	2	2	2.68
announcing his	241909	11018	2	2	2.68
his stateâs	241909	11018	2	2	2.68
19 âwe	241909	11018	2	2	2.68
âwe can	241909	11018	2	2	2.68
can truly	241909	11018	2	2	2.68
truly bend	241909	11018	2	2	2.68
bend the	241909	11018	2	2	2.68
after newsom	241909	11018	2	2	2.68
newsom then	241909	11018	2	2	2.68
governor andrew	241909	11018	2	2	2.68
cuomo announced	241909	11018	2	2	2.68
nabarro the	241909	11018	2	2	2.68
health organizationâs	241909	11018	2	2	2.68
organizationâs covid	241909	11018	2	2	2.68
19 envoy	241909	11018	2	2	2.68
envoy and	241909	11018	2	2	2.68
critic put	241909	11018	2	2	2.68
put it	241909	11018	2	2	2.68
it âthe	241909	11018	2	2	2.68
only time	241909	11018	2	2	2.68
we believe	241909	11018	2	2	2.68
believe a	241909	11018	2	2	2.68
justified is	241909	11018	2	2	2.68
buy you	241909	11018	2	2	2.68
you time	241909	11018	2	2	2.68
to reorganize	241909	11018	2	2	2.68
reorganize regroup	241909	11018	2	2	2.68
mixed â	241909	11018	2	2	2.68
their findings	241909	11018	2	2	2.68
findings their	241909	11018	2	2	2.68
their methodology	241909	11018	2	2	2.68
methodology even	241909	11018	2	2	2.68
even their	241909	11018	2	2	2.68
their definition	241909	11018	2	2	2.68
â[t]he findings	241909	11018	2	2	2.68
findings in	241909	11018	2	2	2.68
this paper	241909	11018	2	2	2.68
paper suggest	241909	11018	2	2	2.68
policies have	241909	11018	2	2	2.68
lower mortality	241909	11018	2	2	2.68
mortality â	241909	11018	2	2	2.68
â as	241909	11018	2	2	2.68
for flattening	241909	11018	2	2	2.68
curve âthatâs	241909	11018	2	2	2.68
âthatâs not	241909	11018	2	2	2.68
â osterholm	241909	11018	2	2	2.68
osterholm says	241909	11018	2	2	2.68
whose schools	241909	11018	2	2	2.68
scientist jay	241909	11018	2	2	2.68
jay bhattacharya	241909	11018	2	2	2.68
bhattacharya of	241909	11018	2	2	2.68
of stanford	241909	11018	2	2	2.68
university recalls	241909	11018	2	2	2.68
recalls a	241909	11018	2	2	2.68
a photograph	241909	11018	2	2	2.68
photograph in	241909	11018	2	2	2.68
i mean	241909	11018	2	2	2.68
right then	241909	11018	2	2	2.68
uk first	241909	11018	2	2	2.68
zealand responded	241909	11018	2	2	2.68
responded very	241909	11018	2	2	2.68
very quickly	241909	11018	2	2	2.68
empty central	241909	11018	2	2	2.68
central london	241909	11018	2	2	2.68
london carnaby	241909	11018	2	2	2.68
carnaby street	241909	11018	2	2	2.68
street taken	241909	11018	2	2	2.68
admin login	241909	11018	2	2	2.68
browser +	241909	11018	2	2	2.68
+ studymate	241909	11018	2	2	2.68
campus +	241909	11018	2	2	2.68
higher ed	241909	11018	2	2	2.68
ed *	241909	11018	2	2	2.68
monitor *	241909	11018	2	2	2.68
online exams	241909	11018	2	2	2.68
during exams	241909	11018	2	2	2.68
with learning	241909	11018	2	2	2.68
management systems	241909	11018	2	2	2.68
browser with	241909	11018	2	2	2.68
browser works	241909	11018	2	2	2.68
* assessments	241909	11018	2	2	2.68
overview video	241909	11018	2	2	2.68
browser in	241909	11018	2	2	2.68
respondus for	241909	11018	2	2	2.68
cells for	241909	11018	2	2	2.68
rhymes for	241909	11018	2	2	2.68
nearby words	241909	11018	2	2	2.68
november 2020	241909	11018	68	9	2.58
access control	241909	11018	14	4	2.57
^ coronavirus	241909	11018	14	4	2.57
to contain	241909	11018	14	4	2.57
crisis *	241909	11018	7	3	2.56
how little	241909	11018	7	3	2.56
what are	241909	11018	7	3	2.56
a free	241909	11018	7	3	2.56
a rapid	241909	11018	7	3	2.56
regions of	241909	11018	7	3	2.56
buenos aires	241909	11018	7	3	2.56
two week	241909	11018	7	3	2.56
and mitigation	241909	11018	7	3	2.56
percentage change	241909	11018	7	3	2.56
the curve	241909	11018	24	5	2.46
was observed	241909	11018	24	5	2.46
"covid 19	241909	11018	72	9	2.42
of a	241909	11018	145	14	2.40
case of	241909	11018	25	5	2.39
governor gavin	241909	11018	8	3	2.38
* evacuations	241909	11018	8	3	2.38
slow the	241909	11018	8	3	2.38
security measures	241909	11018	8	3	2.38
how it	241909	11018	8	3	2.38
a critical	241909	11018	8	3	2.38
to curb	241909	11018	8	3	2.38
of china	241909	11018	8	3	2.38
in hubei	241909	11018	8	3	2.38
metro manila	241909	11018	8	3	2.38
put in	241909	11018	8	3	2.38
the air	241909	11018	8	3	2.38
be attributed	241909	11018	8	3	2.38
following the	241909	11018	16	4	2.35
part of	241909	11018	62	8	2.30
the first	241909	11018	106	11	2.24
in shanghai	241909	11018	3	2	2.23
world has	241909	11018	3	2	2.23
was to	241909	11018	3	2	2.23
building or	241909	11018	3	2	2.23
best practice	241909	11018	3	2	2.23
that every	241909	11018	3	2	2.23
and why	241909	11018	3	2	2.23
should you	241909	11018	3	2	2.23
be part	241909	11018	3	2	2.23
fire alarms	241909	11018	3	2	2.23
your school	241909	11018	3	2	2.23
write your	241909	11018	3	2	2.23
school *	241909	11018	3	2	2.23
to quickly	241909	11018	3	2	2.23
implemented when	241909	11018	3	2	2.23
an immediate	241909	11018	3	2	2.23
school administrators	241909	11018	3	2	2.23
clinics and	241909	11018	3	2	2.23
28 2025	241909	11018	3	2	2.23
uses see	241909	11018	3	2	2.23
a facility	241909	11018	3	2	2.23
april 30	241909	11018	3	2	2.23
wuhan on	241909	11018	3	2	2.23
while around	241909	11018	3	2	2.23
the philippines	241909	11018	3	2	2.23
a three	241909	11018	3	2	2.23
^ a	241909	11018	3	2	2.23
overview *	241909	11018	3	2	2.23
increased to	241909	11018	3	2	2.23
extended until	241909	11018	3	2	2.23
policies of	241909	11018	3	2	2.23
than 250	241909	11018	3	2	2.23
or about	241909	11018	3	2	2.23
â here	241909	11018	3	2	2.23
manila and	241909	11018	3	2	2.23
largest of	241909	11018	3	2	2.23
five day	241909	11018	3	2	2.23
^ "victoria	241909	11018	3	2	2.23
as nsw	241909	11018	3	2	2.23
