token	corpus size	all contexts size	frequency	co-frequency	specificity
flattening	225417	15330	19	6	2.97
rare	225417	15330	8	4	2.95
columnar	225417	15330	8	4	2.95
ratnapark	225417	15330	8	4	2.95
dhulikhel	225417	15330	8	4	2.95
times/redux	225417	15330	8	4	2.95
licensing	225417	15330	8	4	2.95
^[6]	225417	15330	4	3	2.93
strictest	225417	15330	4	3	2.93
1973	225417	15330	4	3	2.93
invacuation	225417	15330	4	3	2.93
seamlessly	225417	15330	4	3	2.93
caught	225417	15330	4	3	2.93
pricing	225417	15330	4	3	2.93
weeks	225417	15330	34	8	2.88
almost	225417	15330	20	6	2.84
hubei	225417	15330	20	6	2.84
inside	225417	15330	27	7	2.84
started	225417	15330	27	7	2.84
regulations	225417	15330	27	7	2.84
associated	225417	15330	51	10	2.82
spread	225417	15330	128	18	2.80
countries	225417	15330	226	27	2.79
had	225417	15330	238	28	2.77
says	225417	15330	70	12	2.76
types	225417	15330	21	6	2.73
^e	225417	15330	21	6	2.73
governor	225417	15330	21	6	2.73
respectively	225417	15330	21	6	2.73
million	225417	15330	80	13	2.73
a+l+e+r+b+y+tm	225417	15330	9	4	2.72
intruder	225417	15330	9	4	2.72
loved	225417	15330	9	4	2.72
helped	225417	15330	9	4	2.72
form	225417	15330	36	8	2.72
stay	225417	15330	90	14	2.71
testing	225417	15330	62	11	2.70
cities	225417	15330	81	13	2.68
administrators	225417	15330	15	5	2.67
90	225417	15330	15	5	2.67
starting	225417	15330	15	5	2.67
national	225417	15330	143	19	2.65
never	225417	15330	37	8	2.64
case	225417	15330	103	15	2.59
threat	225417	15330	55	10	2.59
safe	225417	15330	38	8	2.57
key	225417	15330	38	8	2.57
hard	225417	15330	30	7	2.57
^[2]	225417	15330	5	3	2.56
precautionary	225417	15330	5	3	2.56
downsides	225417	15330	5	3	2.56
hazard	225417	15330	5	3	2.56
represents	225417	15330	5	3	2.56
facility	225417	15330	16	5	2.53
complete	225417	15330	16	5	2.53
went	225417	15330	16	5	2.53
beijing	225417	15330	16	5	2.53
designed	225417	15330	16	5	2.53
ended	225417	15330	16	5	2.53
constantly	225417	15330	10	4	2.53
overview	225417	15330	10	4	2.53
"south	225417	15330	10	4	2.53
"spain	225417	15330	10	4	2.53
students	225417	15330	85	13	2.51
study	225417	15330	109	15	2.38
police	225417	15330	59	10	2.38
defined	225417	15330	11	4	2.37
manila	225417	15330	11	4	2.37
appropriate	225417	15330	11	4	2.37
hospital	225417	15330	89	13	2.35
italy	225417	15330	89	13	2.35
say	225417	15330	33	7	2.34
newsworthy	225417	15330	2	2	2.33
preventative	225417	15330	2	2	2.33
preemptive	225417	15330	2	2	2.33
longest	225417	15330	2	2	2.33
mandalay	225417	15330	2	2	2.33
hellish	225417	15330	2	2	2.33
resort	225417	15330	2	2	2.33
counterfactual	225417	15330	2	2	2.33
"albania	225417	15330	2	2	2.33
7"	225417	15330	2	2	2.33
tonight"	225417	15330	2	2	2.33
moorabool	225417	15330	2	2	2.33
"ballarat	225417	15330	2	2	2.33
reimposes	225417	15330	2	2	2.33
"latrobe	225417	15330	2	2	2.33
"sydney	225417	15330	2	2	2.33
"perth	225417	15330	2	2	2.33
off"	225417	15330	2	2	2.33
"cairns	225417	15330	2	2	2.33
jump"	225417	15330	2	2	2.33
16"	225417	15330	2	2	2.33
schools"	225417	15330	2	2	2.33
compared"	225417	15330	2	2	2.33
surge"	225417	15330	2	2	2.33
begins"	225417	15330	2	2	2.33
"cyprus	225417	15330	2	2	2.33
31"	225417	15330	2	2	2.33
"iraq	225417	15330	2	2	2.33
"israel	225417	15330	2	2	2.33
3rd	225417	15330	2	2	2.33
lombardia	225417	15330	2	2	2.33
"jordan	225417	15330	2	2	2.33
"libya	225417	15330	2	2	2.33
"mongolia	225417	15330	2	2	2.33
"sri	225417	15330	2	2	2.33
"switzerland	225417	15330	2	2	2.33
"zimbabwe	225417	15330	2	2	2.33
"modi	225417	15330	2	2	2.33
heilongjiang	225417	15330	2	2	2.33
reorganise	225417	15330	2	2	2.33
instituting	225417	15330	2	2	2.33
explains	225417	15330	2	2	2.33
furlough	225417	15330	2	2	2.33
`unnecessary	225417	15330	2	2	2.33
`defensible	225417	15330	2	2	2.33
<p>in	225417	15330	2	2	2.33
carnaby	225417	15330	2	2	2.33
|la	225417	15330	2	2	2.33
statewide	225417	15330	2	2	2.33
vertical	225417	15330	2	2	2.33
day^	225417	15330	2	2	2.33
15^th	225417	15330	2	2	2.33
georgetown	225417	15330	2	2	2.33
glascock/the	225417	15330	2	2	2.33
nowhere	225417	15330	2	2	2.33
dared	225417	15330	2	2	2.33
reemerge	225417	15330	2	2	2.33
overrun	225417	15330	2	2	2.33
definitive	225417	15330	2	2	2.33
630	225417	15330	2	2	2.33
commit	225417	15330	2	2	2.33
haul	225417	15330	2	2	2.33
twice	225417	15330	2	2	2.33
mistress	225417	15330	2	2	2.33
advocating	225417	15330	2	2	2.33
unquestioned	225417	15330	2	2	2.33
"bending"	225417	15330	2	2	2.33
gavin	225417	15330	2	2	2.33
announcing	225417	15330	2	2	2.33
upturn	225417	15330	2	2	2.33
reorganize	225417	15330	2	2	2.33
reimposed	225417	15330	2	2	2.33
alive	225417	15330	2	2	2.33
"[t]he	225417	15330	2	2	2.33
defender	225417	15330	2	2	2.33
sociological	225417	15330	2	2	2.33
"associated	225417	15330	2	2	2.33
statistically	225417	15330	2	2	2.33
gauge	225417	15330	2	2	2.33
conclude	225417	15330	2	2	2.33
autistic	225417	15330	2	2	2.33
openly	225417	15330	2	2	2.33
regretted	225417	15330	2	2	2.33
forceful	225417	15330	2	2	2.33
browser^®	225417	15330	2	2	2.33
0	225417	15330	111	15	2.32
second	225417	15330	80	12	2.31
preventive	225417	15330	18	5	2.30
records	225417	15330	18	5	2.30
visited	225417	15330	6	3	2.29
alarms	225417	15330	6	3	2.29
discussed	225417	15330	6	3	2.29
shepparton	225417	15330	6	3	2.29
abandoned	225417	15330	6	3	2.29
dominic	225417	15330	6	3	2.29
evaluating	225417	15330	6	3	2.29
noun	225417	15330	6	3	2.29
cells	225417	15330	6	3	2.29
go	225417	15330	61	10	2.28
of	225417	15330	5276	389	2.26
sa	225417	15330	52	9	2.26
shooting	225417	15330	26	6	2.25
little	225417	15330	62	10	2.23
prisoners	225417	15330	12	4	2.22
decreased	225417	15330	12	4	2.22
event	225417	15330	35	7	2.20
authorities	225417	15330	35	7	2.20
implement	225417	15330	19	5	2.20
humanity	225417	15330	19	5	2.20
is	225417	15330	1356	110	2.16
here	225417	15330	74	11	2.15
worldwide	225417	15330	36	7	2.14
on	225417	15330	1503	120	2.11
red	225417	15330	20	5	2.11
ordered	225417	15330	28	6	2.10
melbourne	225417	15330	13	4	2.09
shops	225417	15330	13	4	2.09
annual	225417	15330	13	4	2.09
explained	225417	15330	13	4	2.09
continuous	225417	15330	7	3	2.08
summary	225417	15330	7	3	2.08
component	225417	15330	7	3	2.08
demonstrated	225417	15330	7	3	2.08
agreed	225417	15330	7	3	2.08
aires	225417	15330	7	3	2.08
bay	225417	15330	7	3	2.08
extend	225417	15330	7	3	2.08
lithuania	225417	15330	7	3	2.08
remember	225417	15330	7	3	2.08
tough	225417	15330	7	3	2.08
30^th	225417	15330	7	3	2.08
what	225417	15330	273	28	2.08
anti	225417	15330	37	7	2.08
"covid	225417	15330	98	13	2.05
while	225417	15330	178	20	2.04
using	225417	15330	77	11	2.04
third	225417	15330	47	8	2.04
one	225417	15330	227	24	2.02
put	225417	15330	38	7	2.02
adopted	225417	15330	21	5	2.02
your	225417	15330	168	19	2.00
level	225417	15330	78	11	2.00
resulted	225417	15330	14	4	1.98
implementation	225417	15330	14	4	1.98
evacuations	225417	15330	14	4	1.98
lanka	225417	15330	14	4	1.98
oembed	225417	15330	14	4	1.98
kinds	225417	15330	14	4	1.98
bank	225417	15330	30	6	1.97
half	225417	15330	39	7	1.96
protests	225417	15330	39	7	1.96
northern	225417	15330	49	8	1.94
from	225417	15330	1177	94	1.91
curb	225417	15330	8	3	1.91
"for	225417	15330	8	3	1.91
indians	225417	15330	8	3	1.91
enforce	225417	15330	8	3	1.91
login	225417	15330	8	3	1.91
europe"	225417	15330	8	3	1.91
govt	225417	15330	8	3	1.91
cope	225417	15330	8	3	1.91
pick	225417	15330	8	3	1.91
india	225417	15330	259	26	1.90
amid	225417	15330	31	6	1.90
although	225417	15330	31	6	1.90
coronavirus"	225417	15330	31	6	1.90
situation	225417	15330	60	9	1.90
distancing	225417	15330	50	8	1.89
lean	225417	15330	3	2	1.89
disambiguation	225417	15330	3	2	1.89
capitol	225417	15330	3	2	1.89
announcements	225417	15330	3	2	1.89
buttons	225417	15330	3	2	1.89
analyses	225417	15330	3	2	1.89
statehouse	225417	15330	3	2	1.89
resurgence	225417	15330	3	2	1.89
constitutes	225417	15330	3	2	1.89
"argentina	225417	15330	3	2	1.89
tightened	225417	15330	3	2	1.89
"all	225417	15330	3	2	1.89
victorian	225417	15330	3	2	1.89
heads	225417	15330	3	2	1.89
tuesday	225417	15330	3	2	1.89
introduce	225417	15330	3	2	1.89
"belgium	225417	15330	3	2	1.89
relax	225417	15330	3	2	1.89
may"	225417	15330	3	2	1.89
curfew"	225417	15330	3	2	1.89
april"	225417	15330	3	2	1.89
climbs	225417	15330	3	2	1.89
fino	225417	15330	3	2	1.89
maggio	225417	15330	3	2	1.89
fight"	225417	15330	3	2	1.89
17"	225417	15330	3	2	1.89
governorate	225417	15330	3	2	1.89
extended"	225417	15330	3	2	1.89
business"	225417	15330	3	2	1.89
1"	225417	15330	3	2	1.89
detail	225417	15330	3	2	1.89
barrington	225417	15330	3	2	1.89
hobby	225417	15330	3	2	1.89
height	225417	15330	3	2	1.89
compares	225417	15330	3	2	1.89
bl	225417	15330	3	2	1.89
representing	225417	15330	3	2	1.89
buffer	225417	15330	3	2	1.89
"these	225417	15330	3	2	1.89
implicit	225417	15330	3	2	1.89
mandating	225417	15330	3	2	1.89
reckoning	225417	15330	3	2	1.89
embrace	225417	15330	3	2	1.89
shortly	225417	15330	3	2	1.89
progression	225417	15330	3	2	1.89
talked	225417	15330	3	2	1.89
bend	225417	15330	3	2	1.89
envoy	225417	15330	3	2	1.89
critic	225417	15330	3	2	1.89
justified	225417	15330	3	2	1.89
continually	225417	15330	3	2	1.89
methodology	225417	15330	3	2	1.89
printed	225417	15330	3	2	1.89
refusing	225417	15330	3	2	1.89
believing	225417	15330	3	2	1.89
tags	225417	15330	3	2	1.89
interruptions	225417	15330	3	2	1.89
admin	225417	15330	3	2	1.89
proctored	225417	15330	3	2	1.89
he	225417	15330	162	18	1.88
researchers	225417	15330	15	4	1.87
capita	225417	15330	15	4	1.87
meant	225417	15330	15	4	1.87
difference	225417	15330	23	5	1.86
whether	225417	15330	41	7	1.86
hospitals	225417	15330	51	8	1.85
leave	225417	15330	32	6	1.84
rules	225417	15330	32	6	1.84
kathmandu	225417	15330	32	6	1.84
virus	225417	15330	165	18	1.82
with	225417	15330	1082	86	1.81
critical	225417	15330	42	7	1.81
www	225417	15330	84	11	1.81
contents	225417	15330	24	5	1.79
included	225417	15330	33	6	1.79
clearly	225417	15330	16	4	1.78
evacuation	225417	15330	16	4	1.78
origin	225417	15330	16	4	1.78
took	225417	15330	16	4	1.78
levels	225417	15330	85	11	1.78
systems	225417	15330	108	13	1.77
clear	225417	15330	43	7	1.77
200	225417	15330	9	3	1.76
topic	225417	15330	9	3	1.76
fourth	225417	15330	9	3	1.76
metro	225417	15330	9	3	1.76
enforced	225417	15330	9	3	1.76
extension	225417	15330	9	3	1.76
migrant	225417	15330	9	3	1.76
cambodia	225417	15330	9	3	1.76
appear	225417	15330	9	3	1.76
introduction	225417	15330	9	3	1.76
gradual	225417	15330	9	3	1.76
institution	225417	15330	9	3	1.76
time	225417	15330	232	23	1.74
vaccine	225417	15330	145	16	1.74
been	225417	15330	297	28	1.73
comment	225417	15330	34	6	1.73
monitor	225417	15330	25	5	1.72
remain	225417	15330	44	7	1.72
than	225417	15330	286	27	1.71
outbreak	225417	15330	99	12	1.70
other	225417	15330	326	30	1.70
thousands	225417	15330	17	4	1.69
temporary	225417	15330	17	4	1.69
danger	225417	15330	17	4	1.69
attributed	225417	15330	17	4	1.69
observed	225417	15330	77	10	1.68
effects	225417	15330	66	9	1.68
can	225417	15330	343	31	1.66
overall	225417	15330	26	5	1.66
describe	225417	15330	10	3	1.64
stopped	225417	15330	10	3	1.64
shelter	225417	15330	10	3	1.64
fake	225417	15330	10	3	1.64
epidemiologist	225417	15330	10	3	1.64
exceptional	225417	15330	10	3	1.64
nearby	225417	15330	10	3	1.64
unherd	225417	15330	10	3	1.64
spectator	225417	15330	10	3	1.64
^1	225417	15330	10	3	1.64
being	225417	15330	188	19	1.64
used	225417	15330	138	15	1.64
instead	225417	15330	36	6	1.63
france	225417	15330	57	8	1.62
4	225417	15330	254	24	1.62
cymraeg	225417	15330	4	2	1.62
senate	225417	15330	4	2	1.62
notifications	225417	15330	4	2	1.62
seamless	225417	15330	4	2	1.62
securing	225417	15330	4	2	1.62
comparable	225417	15330	4	2	1.62
ohio	225417	15330	4	2	1.62
"impact	225417	15330	4	2	1.62
world"	225417	15330	4	2	1.62
^p	225417	15330	4	2	1.62
week"	225417	15330	4	2	1.62
premier	225417	15330	4	2	1.62
crackdown	225417	15330	4	2	1.62
"europe	225417	15330	4	2	1.62
penh	225417	15330	4	2	1.62
"denmark	225417	15330	4	2	1.62
phased	225417	15330	4	2	1.62
italia	225417	15330	4	2	1.62
"north	225417	15330	4	2	1.62
1st	225417	15330	4	2	1.62
respirator	225417	15330	4	2	1.62
paralympics	225417	15330	4	2	1.62
luxembourg	225417	15330	4	2	1.62
beds	225417	15330	4	2	1.62
timor	225417	15330	4	2	1.62
labelled	225417	15330	4	2	1.62
ranged	225417	15330	4	2	1.62
etymology	225417	15330	4	2	1.62
examine	225417	15330	4	2	1.62
megacity	225417	15330	4	2	1.62
taggart/the	225417	15330	4	2	1.62
horror	225417	15330	4	2	1.62
regarded	225417	15330	4	2	1.62
achievable	225417	15330	4	2	1.62
outweighed	225417	15330	4	2	1.62
unthinkable	225417	15330	4	2	1.62
"flattening	225417	15330	4	2	1.62
criticized	225417	15330	4	2	1.62
uptick	225417	15330	4	2	1.62
naturally	225417	15330	4	2	1.62
"full	225417	15330	4	2	1.62
osterholm	225417	15330	4	2	1.62
attempting	225417	15330	4	2	1.62
wound	225417	15330	4	2	1.62
unreasonable	225417	15330	4	2	1.62
stanford	225417	15330	4	2	1.62
recalls	225417	15330	4	2	1.62
fend	225417	15330	4	2	1.62
closings	225417	15330	4	2	1.62
integrates	225417	15330	4	2	1.62
unlimited	225417	15330	4	2	1.62
single	225417	15330	18	4	1.61
emergencies	225417	15330	18	4	1.61
keeping	225417	15330	18	4	1.61
truly	225417	15330	18	4	1.61
around	225417	15330	103	12	1.61
london	225417	15330	27	5	1.60
means	225417	15330	47	7	1.60
benefits	225417	15330	47	7	1.60
security	225417	15330	178	18	1.59
see	225417	15330	191	19	1.59
long	225417	15330	153	16	1.59
5]	225417	15330	37	6	1.59
regions	225417	15330	48	7	1.56
central	225417	15330	59	8	1.55
or	225417	15330	677	54	1.55
month	225417	15330	28	5	1.55
concluded	225417	15330	28	5	1.55
words	225417	15330	28	5	1.55
government	225417	15330	287	26	1.54
locked	225417	15330	38	6	1.54
rise	225417	15330	38	6	1.54
solutions	225417	15330	38	6	1.54
languages	225417	15330	19	4	1.54
workplace	225417	15330	19	4	1.54
largest	225417	15330	19	4	1.54
s	225417	15330	1281	95	1.53
300	225417	15330	11	3	1.53
mainland	225417	15330	11	3	1.53
implementing	225417	15330	11	3	1.53
men	225417	15330	11	3	1.53
^i	225417	15330	11	3	1.53
begins	225417	15330	11	3	1.53
winter	225417	15330	11	3	1.53
json	225417	15330	11	3	1.53
lessons	225417	15330	11	3	1.53
2007	225417	15330	11	3	1.53
situ	225417	15330	11	3	1.53
mass	225417	15330	49	7	1.52
university	225417	15330	107	12	1.52
right	225417	15330	72	9	1.50
quarantines	225417	15330	29	5	1.50
aid	225417	15330	29	5	1.50
throughout	225417	15330	20	4	1.47
stage	225417	15330	20	4	1.47
introduced	225417	15330	20	4	1.47
not	225417	15330	620	49	1.47
lockdowns	225417	15330	254	23	1.46
list	225417	15330	51	7	1.45
later	225417	15330	51	7	1.45
victims	225417	15330	30	5	1.45
word	225417	15330	30	5	1.45
recorded	225417	15330	12	3	1.44
factors	225417	15330	12	3	1.44
an	225417	15330	629	49	1.43
death	225417	15330	75	9	1.43
prompted	225417	15330	5	2	1.43
reveal	225417	15330	5	2	1.43
handful	225417	15330	5	2	1.43
jinping	225417	15330	5	2	1.43
stringency	225417	15330	5	2	1.43
^o	225417	15330	5	2	1.43
hotel	225417	15330	5	2	1.43
"australia	225417	15330	5	2	1.43
tighten	225417	15330	5	2	1.43
shuts	225417	15330	5	2	1.43
davao	225417	15330	5	2	1.43
stricter	225417	15330	5	2	1.43
rise"	225417	15330	5	2	1.43
ni	225417	15330	5	2	1.43
250	225417	15330	5	2	1.43
260	225417	15330	5	2	1.43
perfect	225417	15330	5	2	1.43
delaying	225417	15330	5	2	1.43
no[x]	225417	15330	5	2	1.43
dl	225417	15330	5	2	1.43
dataset	225417	15330	5	2	1.43
reacting	225417	15330	5	2	1.43
harsh	225417	15330	5	2	1.43
admission	225417	15330	5	2	1.43
undertaken	225417	15330	5	2	1.43
chose	225417	15330	5	2	1.43
display	225417	15330	5	2	1.43
eventual	225417	15330	5	2	1.43
bhattacharya	225417	15330	5	2	1.43
cheating	225417	15330	5	2	1.43
rhymes	225417	15330	5	2	1.43
manufacturing	225417	15330	21	4	1.41
domain	225417	15330	21	4	1.41
korea	225417	15330	76	9	1.40
save	225417	15330	31	5	1.40
march	225417	15330	696	53	1.40
then	225417	15330	77	9	1.38
steps	225417	15330	22	4	1.36
reducing	225417	15330	22	4	1.36
earlier	225417	15330	22	4	1.36
questions	225417	15330	22	4	1.36
so[2]	225417	15330	22	4	1.36
merriam	225417	15330	13	3	1.35
hands	225417	15330	13	3	1.35
prevented	225417	15330	13	3	1.35
pupils	225417	15330	13	3	1.35
universities	225417	15330	13	3	1.35
empty	225417	15330	13	3	1.35
depression	225417	15330	13	3	1.35
leads	225417	15330	13	3	1.35
ease	225417	15330	13	3	1.35
boris	225417	15330	13	3	1.35
receiving	225417	15330	13	3	1.35
unrest	225417	15330	13	3	1.35
selected	225417	15330	13	3	1.35
four	225417	15330	43	6	1.35
its	225417	15330	238	21	1.35
fire	225417	15330	67	8	1.33
between	225417	15330	144	14	1.33
code	225417	15330	33	5	1.32
five	225417	15330	44	6	1.32
further	225417	15330	93	10	1.31
millions	225417	15330	23	4	1.30
contain	225417	15330	23	4	1.30
any	225417	15330	106	11	1.30
some	225417	15330	301	25	1.30
how	225417	15330	244	21	1.30
have	225417	15330	781	56	1.29
button	225417	15330	527	40	1.29
australia	225417	15330	94	10	1.29
population	225417	15330	107	11	1.29
^[4]	225417	15330	6	2	1.28
uncertain	225417	15330	6	2	1.28
faces	225417	15330	6	2	1.28
proactive	225417	15330	6	2	1.28
epa	225417	15330	6	2	1.28
sheltering	225417	15330	6	2	1.28
write	225417	15330	6	2	1.28
dedicated	225417	15330	6	2	1.28
minimize	225417	15330	6	2	1.28
clinics	225417	15330	6	2	1.28
integrate	225417	15330	6	2	1.28
reduces	225417	15330	6	2	1.28
sixth	225417	15330	6	2	1.28
officially	225417	15330	6	2	1.28
internationally	225417	15330	6	2	1.28
buenos	225417	15330	6	2	1.28
drivers	225417	15330	6	2	1.28
easing	225417	15330	6	2	1.28
exit	225417	15330	6	2	1.28
brisbane	225417	15330	6	2	1.28
olympics	225417	15330	6	2	1.28
tablighi	225417	15330	6	2	1.28
jamaat	225417	15330	6	2	1.28
malta	225417	15330	6	2	1.28
angola	225417	15330	6	2	1.28
benin	225417	15330	6	2	1.28
burkina	225417	15330	6	2	1.28
faso	225417	15330	6	2	1.28
burundi	225417	15330	6	2	1.28
comoros	225417	15330	6	2	1.28
donation	225417	15330	6	2	1.28
slowed	225417	15330	6	2	1.28
so2	225417	15330	6	2	1.28
calling	225417	15330	6	2	1.28
suddenly	225417	15330	6	2	1.28
urgency	225417	15330	6	2	1.28
moment	225417	15330	6	2	1.28
cuomo	225417	15330	6	2	1.28
minnesota	225417	15330	6	2	1.28
anthony	225417	15330	6	2	1.28
jay	225417	15330	6	2	1.28
photograph	225417	15330	6	2	1.28
similar	225417	15330	34	5	1.28
strategies	225417	15330	34	5	1.28
germany	225417	15330	34	5	1.28
subsequently	225417	15330	14	3	1.28
significantly	225417	15330	14	3	1.28
sydney	225417	15330	14	3	1.28
obvious	225417	15330	14	3	1.28
found	225417	15330	46	6	1.26
led	225417	15330	46	6	1.26
